case,lattice,operator,N,nodes,nu_eff,nu_err,l2_u,steps
taylor_green,D2Q9,BGK,16,256,1.0380668547e-01,3.8066854694e-02,1.8635040283e-02,16
taylor_green,D2Q9,BGK,24,576,1.0166732851e-01,1.6673285053e-02,8.2540032661e-03,36
taylor_green,D2Q9,BGK,32,1024,1.0093569040e-01,9.3569040483e-03,4.6617813903e-03,64
taylor_green,D2Q9,BGK,48,2304,1.0041177361e-01,4.1177361153e-03,2.0938724568e-03,145
taylor_green,D2Q9,BGK,64,4096,1.0023031782e-01,2.3031781887e-03,1.1643053715e-03,259
taylor_green,D2Q9,TRT,16,256,1.0329271484e-01,3.2927148436e-02,1.6147205413e-02,16
taylor_green,D2Q9,TRT,24,576,1.0144229607e-01,1.4422960723e-02,7.1612873254e-03,36
taylor_green,D2Q9,TRT,32,1024,1.0080970457e-01,8.0970456969e-03,4.0511550784e-03,64
taylor_green,D2Q9,TRT,48,2304,1.0035595573e-01,3.5595573098e-03,1.8245603318e-03,145
taylor_green,D2Q9,TRT,64,4096,1.0019895111e-01,1.9895110556e-03,1.0102035338e-03,259
taylor_green,D2Q9,MRT,16,256,1.0347861200e-01,3.4786119953e-02,1.7043476485e-02,16
taylor_green,D2Q9,MRT,24,576,1.0152419029e-01,1.5241902895e-02,7.5566638945e-03,36
taylor_green,D2Q9,MRT,32,1024,1.0085564811e-01,8.5564811380e-03,4.2725006260e-03,64
taylor_green,D2Q9,MRT,48,2304,1.0037634317e-01,3.7634316899e-03,1.9222039667e-03,145
taylor_green,D2Q9,MRT,64,4096,1.0021041452e-01,2.1041452284e-03,1.0661629181e-03,259
taylor_green,D2Q9,CM,16,256,1.0347823010e-01,3.4782300987e-02,1.7041223358e-02,16
taylor_green,D2Q9,CM,24,576,1.0152406643e-01,1.5240664304e-02,7.5559359033e-03,36
taylor_green,D2Q9,CM,32,1024,1.0085559716e-01,8.5559715946e-03,4.2722047099e-03,64
taylor_green,D2Q9,CM,48,2304,1.0037633105e-01,3.7633105398e-03,1.9221481569e-03,145
taylor_green,D2Q9,CM,64,4096,1.0021041160e-01,2.1041160450e-03,1.0661469212e-03,259
taylor_green,D3Q19,BGK,16,2048,1.0380668547e-01,3.8066854694e-02,1.8635040283e-02,16
taylor_green,D3Q19,BGK,24,4608,1.0166732851e-01,1.6673285053e-02,8.2540032661e-03,36
taylor_green,D3Q19,BGK,32,8192,1.0093569040e-01,9.3569040483e-03,4.6617813903e-03,64
taylor_green,D3Q19,BGK,48,18432,1.0041177361e-01,4.1177361152e-03,2.0938724568e-03,145
taylor_green,D3Q19,BGK,64,32768,1.0023031782e-01,2.3031781889e-03,1.1643053715e-03,259
taylor_green,D3Q19,TRT,16,2048,1.0329271484e-01,3.2927148436e-02,1.6147205413e-02,16
taylor_green,D3Q19,TRT,24,4608,1.0144229607e-01,1.4422960723e-02,7.1612873254e-03,36
taylor_green,D3Q19,TRT,32,8192,1.0080970457e-01,8.0970456968e-03,4.0511550784e-03,64
taylor_green,D3Q19,TRT,48,18432,1.0035595573e-01,3.5595573097e-03,1.8245603318e-03,145
taylor_green,D3Q19,TRT,64,32768,1.0019895111e-01,1.9895110558e-03,1.0102035338e-03,259
taylor_green,D3Q19,MRT,16,2048,1.0347846513e-01,3.4784651314e-02,1.7042799215e-02,16
taylor_green,D3Q19,MRT,24,4608,1.0152417533e-01,1.5241753313e-02,7.5565994815e-03,36
taylor_green,D3Q19,MRT,32,8192,1.0085564534e-01,8.5564533886e-03,4.2724905942e-03,64
taylor_green,D3Q19,MRT,48,18432,1.0037634292e-01,3.7634292225e-03,1.9222037179e-03,145
taylor_green,D3Q19,MRT,64,32768,1.0021041448e-01,2.1041447855e-03,1.0661629867e-03,259
taylor_green,D3Q19,CM,16,2048,1.0347812921e-01,3.4781292099e-02,1.7040776904e-02,16
taylor_green,D3Q19,CM,24,4608,1.0152405643e-01,1.5240564318e-02,7.5558989893e-03,36
taylor_green,D3Q19,CM,32,8192,1.0085559526e-01,8.5559525747e-03,4.2721994206e-03,64
taylor_green,D3Q19,CM,48,18432,1.0037633088e-01,3.7633087997e-03,1.9221483056e-03,145
taylor_green,D3Q19,CM,64,32768,1.0021041158e-01,2.1041157568e-03,1.0661470691e-03,259
taylor_green,D3Q27,BGK,16,2048,1.0380668547e-01,3.8066854694e-02,1.8635040283e-02,16
taylor_green,D3Q27,BGK,24,4608,1.0166732851e-01,1.6673285053e-02,8.2540032661e-03,36
taylor_green,D3Q27,BGK,32,8192,1.0093569040e-01,9.3569040483e-03,4.6617813903e-03,64
taylor_green,D3Q27,BGK,48,18432,1.0041177361e-01,4.1177361152e-03,2.0938724568e-03,145
taylor_green,D3Q27,BGK,64,32768,1.0023031782e-01,2.3031781889e-03,1.1643053715e-03,259
