t j gamma
0.0000 5.284168 1.000000
0.2000 6.251093 0.964239
0.3990 8.756241 0.889462
0.5990 11.531361 0.773864
0.7990 13.732147 0.648951
0.9980 16.483646 0.544308
1.1980 19.193758 0.473869
1.3970 15.775242 0.429787
1.5970 12.483413 0.397049
1.7970 9.974406 0.366923
1.9960 8.387184 0.336810
2.1960 7.391160 0.306969
2.3960 6.513102 0.278720
2.5950 5.796459 0.253222
2.7950 5.639883 0.230732
2.9950 5.125725 0.210790
3.1940 4.542559 0.192778
3.3940 4.422335 0.176311
3.5930 4.242071 0.161308
3.7930 4.041063 0.147847
3.9930 3.853282 0.135984
4.0000 3.846051 0.135607
