# tau H l2_x order_x slip_x l2_y order_y slip_y
0.6000 8 1.56882935e-02 nan -2.29826922e-02 1.56882935e-02 nan -2.29826922e-02
0.6000 16 3.92246609e-03 1.9999 -1.14665509e-02 3.92246609e-03 1.9999 -1.14665509e-02
0.6000 32 9.80622659e-04 2.0000 -5.73019276e-03 9.80622660e-04 2.0000 -5.73019276e-03
0.6000 64 2.45155760e-04 2.0000 -2.86471156e-03 2.45155761e-04 2.0000 -2.86471156e-03
0.6000 128 6.12889422e-05 2.0000 -1.43230769e-03 6.12889449e-05 2.0000 -1.43230769e-03
0.8750 8 4.70295492e-15 nan 4.44089210e-16 3.62387394e-15 nan -5.88418203e-15
0.8750 16 3.06287018e-14 -2.7032 1.44884105e-14 3.14070672e-14 -3.1155 9.21485110e-15
0.8750 32 8.95338693e-14 -1.5475 1.73749903e-14 8.75276333e-14 -1.4786 3.35842465e-14
0.8750 64 3.80468772e-13 -2.0873 5.28854738e-13 4.46452776e-13 -2.3507 8.04911693e-13
0.8750 128 1.38843509e-12 -1.8676 4.62374583e-12 1.65450587e-12 -1.8898 4.70146144e-12
1.2000 8 1.85407105e-02 nan 2.69922606e-02 1.85407105e-02 nan 2.69922606e-02
1.2000 16 4.63564174e-03 1.9999 1.35302250e-02 4.63564174e-03 1.9999 1.35302250e-02
1.2000 32 1.15891769e-03 2.0000 6.76940131e-03 1.15891769e-03 2.0000 6.76940131e-03
1.2000 64 2.89729535e-04 2.0000 3.38523761e-03 2.89729535e-04 2.0000 3.38523761e-03
1.2000 128 7.24323848e-05 2.0000 1.69268595e-03 7.24323849e-05 2.0000 1.69268595e-03
2.0000 8 6.41793825e-02 nan 9.26763859e-02 6.41793825e-02 nan 9.26763859e-02
2.0000 16 1.60464522e-02 1.9999 4.67384697e-02 1.60464522e-02 1.9999 4.67384697e-02
2.0000 32 4.01163815e-03 2.0000 2.34203590e-02 4.01163815e-03 2.0000 2.34203590e-02
2.0000 64 1.00290993e-03 2.0000 1.17166050e-02 1.00290993e-03 2.0000 1.17166050e-02
2.0000 128 2.50727488e-04 2.0000 5.85910680e-03 2.50727488e-04 2.0000 5.85910680e-03
