# x_m  ux_mps  rho_lat  p_pa_rel
0.00000000e+00 9.99375000e-05 1.00047935e+00 3.99455375e-06
2.50000000e-02 9.99028297e-05 1.00047659e+00 3.97155071e-06
5.00000000e-02 9.98545542e-05 1.00047480e+00 3.95663263e-06
7.50000000e-02 9.98123499e-05 1.00047294e+00 3.94113491e-06
1.00000000e-01 9.97759120e-05 1.00047101e+00 3.92506597e-06
1.25000000e-01 9.97448462e-05 1.00046902e+00 3.90846696e-06
1.50000000e-01 9.97187359e-05 1.00046697e+00 3.89137853e-06
1.75000000e-01 9.96971492e-05 1.00046486e+00 3.87384312e-06
2.00000000e-01 9.96796509e-05 1.00046271e+00 3.85590345e-06
2.25000000e-01 9.96658126e-05 1.00046051e+00 3.83760160e-06
2.50000000e-01 9.96552215e-05 1.00045828e+00 3.81897815e-06
2.75000000e-01 9.96474860e-05 1.00045601e+00 3.80007153e-06
3.00000000e-01 9.96422413e-05 1.00045371e+00 3.78091771e-06
3.25000000e-01 9.96391513e-05 1.00045139e+00 3.76154974e-06
3.50000000e-01 9.96379102e-05 1.00044904e+00 3.74199768e-06
3.75000000e-01 9.96382432e-05 1.00044667e+00 3.72228863e-06
4.00000000e-01 9.96399051e-05 1.00044429e+00 3.70244677e-06
4.25000000e-01 9.96426793e-05 1.00044190e+00 3.68249343e-06
4.50000000e-01 9.96463754e-05 1.00043949e+00 3.66244732e-06
4.75000000e-01 9.96508279e-05 1.00043708e+00 3.64232476e-06
5.00000000e-01 9.96558931e-05 1.00043466e+00 3.62213988e-06
5.25000000e-01 9.96614474e-05 1.00043223e+00 3.60190482e-06
5.50000000e-01 9.96673848e-05 1.00042980e+00 3.58162995e-06
5.75000000e-01 9.96736147e-05 1.00042736e+00 3.56132409e-06
6.00000000e-01 9.96800603e-05 1.00042492e+00 3.54099472e-06
6.25000000e-01 9.96866569e-05 1.00042248e+00 3.52064810e-06
6.50000000e-01 9.96933498e-05 1.00042003e+00 3.50028949e-06
6.75000000e-01 9.97000933e-05 1.00041759e+00 3.47992323e-06
