# 3.1 conjugate conduction: L=200 kappa=0.1 D0=0.05
# x/L  theta_num  theta_ana
0.00250000 9.9107142857e-01 9.9107142857e-01
0.00750000 9.7321428571e-01 9.7321428571e-01
0.01250000 9.5535714286e-01 9.5535714286e-01
0.01750000 9.3750000000e-01 9.3750000000e-01
0.02250000 9.1964285714e-01 9.1964285714e-01
0.02750000 9.0178571429e-01 9.0178571429e-01
0.03250000 8.8392857143e-01 8.8392857143e-01
0.03750000 8.6607142857e-01 8.6607142857e-01
0.04250000 8.4821428572e-01 8.4821428571e-01
0.04750000 8.3035714286e-01 8.3035714286e-01
0.05250000 8.1250000000e-01 8.1250000000e-01
0.05750000 7.9464285715e-01 7.9464285714e-01
0.06250000 7.7678571429e-01 7.7678571429e-01
0.06750000 7.5892857143e-01 7.5892857143e-01
0.07250000 7.4107142857e-01 7.4107142857e-01
0.07750000 7.2321428572e-01 7.2321428571e-01
0.08250000 7.0535714286e-01 7.0535714286e-01
0.08750000 6.8750000000e-01 6.8750000000e-01
0.09250000 6.6964285715e-01 6.6964285714e-01
0.09750000 6.5178571429e-01 6.5178571429e-01
0.10250000 6.3392857143e-01 6.3392857143e-01
0.10750000 6.1607142858e-01 6.1607142857e-01
0.11250000 5.9821428572e-01 5.9821428571e-01
0.11750000 5.8035714286e-01 5.8035714286e-01
0.12250000 5.6250000001e-01 5.6250000000e-01
0.12750000 5.4464285715e-01 5.4464285714e-01
0.13250000 5.2678571429e-01 5.2678571429e-01
0.13750000 5.0892857143e-01 5.0892857143e-01
0.14250000 4.9107142858e-01 4.9107142857e-01
0.14750000 4.7321428572e-01 4.7321428571e-01
0.15250000 4.5535714286e-01 4.5535714286e-01
0.15750000 4.3750000001e-01 4.3750000000e-01
0.16250000 4.1964285715e-01 4.1964285714e-01
0.16750000 4.0178571429e-01 4.0178571429e-01
0.17250000 3.8392857144e-01 3.8392857143e-01
0.17750000 3.6607142858e-01 3.6607142857e-01
0.18250000 3.4821428572e-01 3.4821428571e-01
0.18750000 3.3035714286e-01 3.3035714286e-01
0.19250000 3.1250000001e-01 3.1250000000e-01
0.19750000 2.9464285715e-01 2.9464285714e-01
0.20250000 2.8482142858e-01 2.8482142857e-01
0.20750000 2.8303571429e-01 2.8303571429e-01
0.21250000 2.8125000001e-01 2.8125000000e-01
0.21750000 2.7946428572e-01 2.7946428571e-01
0.22250000 2.7767857144e-01 2.7767857143e-01
0.22750000 2.7589285715e-01 2.7589285714e-01
0.23250000 2.7410714286e-01 2.7410714286e-01
0.23750000 2.7232142858e-01 2.7232142857e-01
0.24250000 2.7053571429e-01 2.7053571429e-01
0.24750000 2.6875000001e-01 2.6875000000e-01
0.25250000 2.6696428572e-01 2.6696428571e-01
0.25750000 2.6517857144e-01 2.6517857143e-01
0.26250000 2.6339285715e-01 2.6339285714e-01
0.26750000 2.6160714286e-01 2.6160714286e-01
0.27250000 2.5982142858e-01 2.5982142857e-01
0.27750000 2.5803571429e-01 2.5803571429e-01
0.28250000 2.5625000001e-01 2.5625000000e-01
0.28750000 2.5446428572e-01 2.5446428571e-01
0.29250000 2.5267857144e-01 2.5267857143e-01
0.29750000 2.5089285715e-01 2.5089285714e-01
0.30250000 2.4910714286e-01 2.4910714286e-01
0.30750000 2.4732142858e-01 2.4732142857e-01
0.31250000 2.4553571429e-01 2.4553571429e-01
0.31750000 2.4375000001e-01 2.4375000000e-01
0.32250000 2.4196428572e-01 2.4196428571e-01
0.32750000 2.4017857144e-01 2.4017857143e-01
0.33250000 2.3839285715e-01 2.3839285714e-01
0.33750000 2.3660714286e-01 2.3660714286e-01
0.34250000 2.3482142858e-01 2.3482142857e-01
0.34750000 2.3303571429e-01 2.3303571429e-01
0.35250000 2.3125000001e-01 2.3125000000e-01
0.35750000 2.2946428572e-01 2.2946428571e-01
0.36250000 2.2767857144e-01 2.2767857143e-01
0.36750000 2.2589285715e-01 2.2589285714e-01
0.37250000 2.2410714286e-01 2.2410714286e-01
0.37750000 2.2232142858e-01 2.2232142857e-01
0.38250000 2.2053571429e-01 2.2053571429e-01
0.38750000 2.1875000001e-01 2.1875000000e-01
0.39250000 2.1696428572e-01 2.1696428571e-01
0.39750000 2.1517857144e-01 2.1517857143e-01
0.40250000 2.1339285715e-01 2.1339285714e-01
0.40750000 2.1160714286e-01 2.1160714286e-01
