# 3.1 conjugate conduction: L=200 kappa=100 D0=0.05
# x/L  theta_num  theta_ana
0.00250000 9.9996882793e-01 9.9996882793e-01
0.00750000 9.9990648379e-01 9.9990648379e-01
0.01250000 9.9984413965e-01 9.9984413965e-01
0.01750000 9.9978179551e-01 9.9978179551e-01
0.02250000 9.9971945137e-01 9.9971945137e-01
0.02750000 9.9965710723e-01 9.9965710723e-01
0.03250000 9.9959476309e-01 9.9959476309e-01
0.03750000 9.9953241895e-01 9.9953241895e-01
0.04250000 9.9947007481e-01 9.9947007481e-01
0.04750000 9.9940773067e-01 9.9940773067e-01
0.05250000 9.9934538653e-01 9.9934538653e-01
0.05750000 9.9928304239e-01 9.9928304239e-01
0.06250000 9.9922069825e-01 9.9922069825e-01
0.06750000 9.9915835411e-01 9.9915835411e-01
0.07250000 9.9909600997e-01 9.9909600998e-01
0.07750000 9.9903366583e-01 9.9903366584e-01
0.08250000 9.9897132170e-01 9.9897132170e-01
0.08750000 9.9890897756e-01 9.9890897756e-01
0.09250000 9.9884663342e-01 9.9884663342e-01
0.09750000 9.9878428928e-01 9.9878428928e-01
0.10250000 9.9872194514e-01 9.9872194514e-01
0.10750000 9.9865960100e-01 9.9865960100e-01
0.11250000 9.9859725686e-01 9.9859725686e-01
0.11750000 9.9853491272e-01 9.9853491272e-01
0.12250000 9.9847256858e-01 9.9847256858e-01
0.12750000 9.9841022444e-01 9.9841022444e-01
0.13250000 9.9834788030e-01 9.9834788030e-01
0.13750000 9.9828553616e-01 9.9828553616e-01
0.14250000 9.9822319202e-01 9.9822319202e-01
0.14750000 9.9816084788e-01 9.9816084788e-01
0.15250000 9.9809850374e-01 9.9809850374e-01
0.15750000 9.9803615960e-01 9.9803615960e-01
0.16250000 9.9797381546e-01 9.9797381546e-01
0.16750000 9.9791147132e-01 9.9791147132e-01
0.17250000 9.9784912718e-01 9.9784912718e-01
0.17750000 9.9778678304e-01 9.9778678304e-01
0.18250000 9.9772443890e-01 9.9772443890e-01
0.18750000 9.9766209476e-01 9.9766209476e-01
0.19250000 9.9759975062e-01 9.9759975062e-01
0.19750000 9.9753740648e-01 9.9753740648e-01
0.20250000 9.9438902743e-01 9.9438902743e-01
0.20750000 9.8815461346e-01 9.8815461347e-01
0.21250000 9.8192019949e-01 9.8192019950e-01
0.21750000 9.7568578552e-01 9.7568578554e-01
0.22250000 9.6945137156e-01 9.6945137157e-01
0.22750000 9.6321695759e-01 9.6321695761e-01
0.23250000 9.5698254362e-01 9.5698254364e-01
0.23750000 9.5074812965e-01 9.5074812968e-01
0.24250000 9.4451371568e-01 9.4451371571e-01
0.24750000 9.3827930171e-01 9.3827930175e-01
0.25250000 9.3204488775e-01 9.3204488778e-01
0.25750000 9.2581047378e-01 9.2581047382e-01
0.26250000 9.1957605981e-01 9.1957605985e-01
0.26750000 9.1334164584e-01 9.1334164589e-01
0.27250000 9.0710723187e-01 9.0710723192e-01
0.27750000 9.0087281791e-01 9.0087281796e-01
0.28250000 8.9463840394e-01 8.9463840399e-01
0.28750000 8.8840398997e-01 8.8840399002e-01
0.29250000 8.8216957600e-01 8.8216957606e-01
