# Zhou et al. (2026) Sec. 3.1: 1-D conjugate conduction, solid over
# 0 <= x <= 0.2L, kappa = alpha_s/alpha_f. M3LB D3Q7 BGK with a
# per-node relaxation rate, anti-bounce-back walls, FP64.
# Exact: theta = a_s x + 1 (x<=Ls), kappa a_s x + b_f (x>Ls),
#   a_s = -1/(0.2 + 0.8 kappa); interface exactly at x/L = 0.2.
# Zhou et al. Table 3 (coupled FVM-LBM at 1/500): 1.23 0.48 0.37 0.35 %
# L kappa D0 tau_s tau_f eps[%] slope_s slope_f x_int res drift steps
200 0.1 0.05 0.563246 1.132456 1.538689e-09 -3.571428571 -0.357142857 0.200000000 4.861838e-13 8.183244e-12 1450000
200 1 0.05 0.700000 0.700000 1.120435e-09 -1.000000000 -1.000000000 nan 1.137325e-12 9.638100e-12 492000
200 10 0.05 1.132456 0.563246 2.427302e-09 -0.121951220 -1.219512195 0.200000000 2.547151e-13 2.547151e-13 3396000
200 100 0.05 2.500000 0.520000 1.459029e-08 -0.012468828 -1.246882793 0.200000000 5.544830e-13 5.544830e-13 8154000
50 0.1 0.05 0.563246 1.132456 5.985883e-10 -3.571428571 -0.357142857 0.200000000 4.293725e-12 5.980762e-12 94000
50 1 0.05 0.700000 0.700000 4.015908e-10 -1.000000000 -1.000000000 nan 1.548523e-11 4.010948e-12 32000
50 10 0.05 1.132456 0.563246 9.256429e-10 -0.121951220 -1.219512195 0.200000000 1.882244e-12 9.235985e-12 222000
50 100 0.05 2.500000 0.520000 1.017014e-09 -0.012468828 -1.246882793 0.200000000 6.386002e-13 9.690754e-12 596000
100 0.1 0.05 0.563246 1.132456 1.037946e-09 -3.571428571 -0.357142857 0.200000000 1.479559e-12 8.679527e-12 368000
100 1 0.05 0.700000 0.700000 9.080036e-10 -1.000000000 -1.000000000 nan 4.392484e-12 9.098226e-12 124000
100 10 0.05 1.132456 0.563246 9.511705e-10 -0.121951220 -1.219512195 0.200000000 4.382893e-13 9.291797e-12 888000
100 100 0.05 2.500000 0.520000 1.604754e-09 -0.012468828 -1.246882793 0.200000000 2.287888e-13 9.956600e-12 2330000
