# thermal lid cavity Ri=0.1 Gr=1e+06 Pr=0.71 N=129 op=CentralMoments
# velocity scale is max(U, u_c) = 0.094868
# s  u_x(0.5,s)  u_y(s,0.5)  theta(0.5,s)  theta(s,0.5)
0.00000000 0.00000000e+00 0.00000000e+00 1.00000000e+00 5.00000000e-01
0.00781250 -7.82243051e-02 1.38070156e-01 8.05050008e-01 4.27587002e-01
0.01562500 -1.41762866e-01 2.52450566e-01 6.18547023e-01 4.20087971e-01
0.02343750 -1.93301204e-01 3.35184662e-01 4.56865987e-01 4.02771943e-01
0.03125000 -2.39174687e-01 3.88276027e-01 3.34755305e-01 3.74701598e-01
0.03906250 -2.82703083e-01 4.19683356e-01 2.54585819e-01 3.38386292e-01
0.04687500 -3.23885456e-01 4.38216979e-01 2.06576672e-01 2.98756979e-01
0.05468750 -3.61146018e-01 4.49918282e-01 1.77706491e-01 2.61012720e-01
0.06250000 -3.92795697e-01 4.57562961e-01 1.59067142e-01 2.28833212e-01
0.07031250 -4.17574167e-01 4.61922134e-01 1.46886086e-01 2.03815335e-01
0.07812500 -4.34782756e-01 4.63077399e-01 1.39997051e-01 1.85913078e-01
0.08593750 -4.44368535e-01 4.61113092e-01 1.37661513e-01 1.74156321e-01
0.09375000 -4.46939704e-01 4.56306907e-01 1.38878215e-01 1.67255322e-01
0.10156250 -4.43649762e-01 4.49105915e-01 1.42497859e-01 1.63927516e-01
0.10937500 -4.35977080e-01 4.40050972e-01 1.47454310e-01 1.63066156e-01
0.11718750 -4.25469874e-01 4.29701594e-01 1.52893226e-01 1.63771855e-01
0.12500000 -4.13523665e-01 4.18574194e-01 1.58204530e-01 1.65369972e-01
0.13281250 -4.01234792e-01 4.07099222e-01 1.63001551e-01 1.67369209e-01
0.14062500 -3.89342978e-01 3.95599553e-01 1.67078827e-01 1.69448085e-01
0.14843750 -3.78249789e-01 3.84288492e-01 1.70366523e-01 1.71401060e-01
0.15625000 -3.68085680e-01 3.73282566e-01 1.72889174e-01 1.73125913e-01
0.16406250 -3.58796436e-01 3.62622916e-01 1.74731045e-01 1.74576497e-01
0.17187500 -3.50226138e-01 3.52299324e-01 1.76008319e-01 1.75759803e-01
0.17968750 -3.42183139e-01 3.42272361e-01 1.76847764e-01 1.76698990e-01
0.18750000 -3.34484331e-01 3.32490966e-01 1.77371430e-01 1.77439512e-01
0.19531250 -3.26979088e-01 3.22904514e-01 1.77686756e-01 1.78021077e-01
0.20312500 -3.19557548e-01 3.13469717e-01 1.77881336e-01 1.78490133e-01
0.21093750 -3.12148760e-01 3.04153436e-01 1.78021370e-01 1.78878477e-01
0.21875000 -3.04713579e-01 2.94932698e-01 1.78152805e-01 1.79219227e-01
0.22656250 -2.97235915e-01 2.85793146e-01 1.78304125e-01 1.79529762e-01
0.23437500 -2.89714530e-01 2.76726867e-01 1.78489961e-01 1.79828696e-01
0.24218750 -2.82156446e-01 2.67730226e-01 1.78714811e-01 1.80121347e-01
0.25000000 -2.74572234e-01 2.58802040e-01 1.78976449e-01 1.80416001e-01
0.25781250 -2.66972993e-01 2.49942240e-01 1.79268733e-01 1.80710841e-01
0.26562500 -2.59368672e-01 2.41150983e-01 1.79583768e-01 1.81008644e-01
0.27343750 -2.51767322e-01 2.32428158e-01 1.79913384e-01 1.81304715e-01
0.28125000 -2.44174943e-01 2.23773168e-01 1.80250095e-01 1.81599787e-01
0.28906250 -2.36595656e-01 2.15184898e-01 1.80587581e-01 1.81888895e-01
0.29687500 -2.29032035e-01 2.06661773e-01 1.80920885e-01 1.82172553e-01
0.30468750 -2.21485463e-01 1.98201872e-01 1.81246366e-01 1.82446653e-01
0.31250000 -2.13956472e-01 1.89803034e-01 1.81561562e-01 1.82712127e-01
0.32031250 -2.06445023e-01 1.81462969e-01 1.81864965e-01 1.82965942e-01
0.32812500 -1.98950714e-01 1.73179318e-01 1.82155811e-01 1.83209449e-01
0.33593750 -1.91472937e-01 1.64949731e-01 1.82433856e-01 1.83440501e-01
0.34375000 -1.84010975e-01 1.56771871e-01 1.82699216e-01 1.83660653e-01
0.35156250 -1.76564060e-01 1.48643464e-01 1.82952202e-01 1.83868361e-01
0.35937500 -1.69131401e-01 1.40562268e-01 1.83193235e-01 1.84065171e-01
0.36718750 -1.61712196e-01 1.32526108e-01 1.83422747e-01 1.84249913e-01
0.37500000 -1.54305622e-01 1.24532836e-01 1.83641159e-01 1.84423981e-01
0.38281250 -1.46910832e-01 1.16580353e-01 1.83848823e-01 1.84586435e-01
0.39062500 -1.39526935e-01 1.08666568e-01 1.84046045e-01 1.84738458e-01
0.39843750 -1.32152993e-01 1.00789430e-01 1.84233044e-01 1.84879265e-01
0.40625000 -1.24788001e-01 9.29468756e-02 1.84410000e-01 1.85009820e-01
0.41406250 -1.17430885e-01 8.51368717e-02 1.84577017e-01 1.85129463e-01
0.42187500 -1.10080494e-01 7.73573637e-02 1.84734180e-01 1.85238956e-01
0.42968750 -1.02735594e-01 6.96063179e-02 1.84881518e-01 1.85337753e-01
0.43750000 -9.53948695e-02 6.18816757e-02 1.85019059e-01 1.85426442e-01
0.44531250 -8.80569200e-02 5.41813938e-02 1.85146793e-01 1.85504589e-01
0.45312500 -8.07202611e-02 4.65034024e-02 1.85264722e-01 1.85572634e-01
0.46093750 -7.33833247e-02 3.88456432e-02 1.85372818e-01 1.85630252e-01
0.46875000 -6.60444594e-02 3.12060316e-02 1.85471075e-01 1.85677752e-01
0.47656250 -5.87019320e-02 2.35824902e-02 1.85559464e-01 1.85714915e-01
0.48437500 -5.13539272e-02 1.59729179e-02 1.85637975e-01 1.85741935e-01
0.49218750 -4.39985480e-02 8.37521464e-03 1.85706582e-01 1.85758693e-01
0.50000000 -3.66338157e-02 7.87260627e-04 1.85765274e-01 1.85765274e-01
0.50781250 -2.92576695e-02 -6.79306941e-03 1.85814031e-01 1.85761658e-01
0.51562500 -2.18679662e-02 -1.43679166e-02 1.85852835e-01 1.85747825e-01
0.52343750 -1.44624791e-02 -2.19394347e-02 1.85881671e-01 1.85723848e-01
0.53125000 -7.03889819e-03 -2.95097889e-02 1.85900513e-01 1.85689607e-01
0.53906250 4.05170694e-04 -3.70811650e-02 1.85909351e-01 1.85645265e-01
0.54687500 7.87220558e-03 -4.46557558e-02 1.85908143e-01 1.85590605e-01
0.55468750 1.53647684e-02 -5.22357825e-02 1.85896885e-01 1.85525882e-01
0.56250000 2.28855043e-02 -5.98234697e-02 1.85875516e-01 1.85450778e-01
0.57031250 3.04371414e-02 -6.74210780e-02 1.85844040e-01 1.85365651e-01
0.57812500 3.80224900e-02 -7.50308681e-02 1.85802364e-01 1.85270082e-01
0.58593750 4.56444416e-02 -8.26551438e-02 1.85750506e-01 1.85164538e-01
0.59375000 5.33059691e-02 -9.02962062e-02 1.85688335e-01 1.85048503e-01
0.60156250 6.10101260e-02 -9.79564049e-02 1.85615884e-01 1.84922564e-01
0.60937500 6.87600473e-02 -1.05638085e-01 1.85532972e-01 1.84786107e-01
0.61718750 7.65589498e-02 -1.13343642e-01 1.85439658e-01 1.84639847e-01
0.62500000 8.44101336e-02 -1.21075467e-01 1.85335700e-01 1.84483069e-01
