# thermal lid cavity Ri=1 Gr=1e+06 Pr=0.71 N=129 op=CentralMoments
# velocity scale is max(U, u_c) = 0.080000
# s  u_x(0.5,s)  u_y(s,0.5)  theta(0.5,s)  theta(s,0.5)
0.00000000 0.00000000e+00 0.00000000e+00 1.00000000e+00 5.00000000e-01
0.00781250 5.10638802e-02 -6.88418028e-02 9.54858915e-01 3.60907906e-01
0.01562500 1.01460701e-01 -1.16210397e-01 9.09941418e-01 3.61917545e-01
0.02343750 1.50165790e-01 -1.41606746e-01 8.65399424e-01 3.64146467e-01
0.03125000 1.95885300e-01 -1.50867882e-01 8.21507020e-01 3.67706135e-01
0.03906250 2.37291985e-01 -1.49459218e-01 7.78688524e-01 3.72424801e-01
0.04687500 2.73246445e-01 -1.41721663e-01 7.37504341e-01 3.77948734e-01
0.05468750 3.02948694e-01 -1.30659084e-01 6.98605288e-01 3.83862360e-01
0.06250000 3.26009166e-01 -1.18096360e-01 6.62661235e-01 3.89788367e-01
0.07031250 3.42440650e-01 -1.05013187e-01 6.30276936e-01 3.95443624e-01
0.07812500 3.52589888e-01 -9.18809629e-02 6.01912552e-01 4.00650001e-01
0.08593750 3.57037038e-01 -7.89106870e-02 5.77826048e-01 4.05315787e-01
0.09375000 3.56491009e-01 -6.61980155e-02 5.58048879e-01 4.09407040e-01
0.10156250 3.51700839e-01 -5.37930299e-02 5.42397170e-01 4.12922194e-01
0.10937500 3.43392551e-01 -4.17283413e-02 5.30511658e-01 4.15874940e-01
0.11718750 3.32231599e-01 -3.00287889e-02 5.21914174e-01 4.18284752e-01
0.12500000 3.18805535e-01 -1.87144804e-02 5.16067467e-01 4.20172426e-01
0.13281250 3.03619883e-01 -7.80182743e-03 5.12428000e-01 4.21558232e-01
0.14062500 2.87101177e-01 2.69593785e-03 5.10485777e-01 4.22461216e-01
0.14843750 2.69603106e-01 1.27683761e-02 5.09789619e-01 4.22898946e-01
0.15625000 2.51413595e-01 2.24075023e-02 5.09959349e-01 4.22887436e-01
0.16406250 2.32761953e-01 3.16074836e-02 5.10687925e-01 4.22441160e-01
0.17187500 2.13825872e-01 4.03643710e-02 5.11736899e-01 4.21573140e-01
0.17968750 1.94738283e-01 4.86758653e-02 5.12928165e-01 4.20295078e-01
0.18750000 1.75594050e-01 5.65411123e-02 5.14134258e-01 4.18617541e-01
0.19531250 1.56456422e-01 6.39605263e-02 5.15268709e-01 4.16550182e-01
0.20312500 1.37363086e-01 7.09356365e-02 5.16277332e-01 4.14101981e-01
0.21093750 1.18331665e-01 7.74689532e-02 5.17130884e-01 4.11281507e-01
0.21875000 9.93645608e-02 8.35638505e-02 5.17819230e-01 4.08097182e-01
0.22656250 8.04530380e-02 8.92244627e-02 5.18346952e-01 4.04557545e-01
0.23437500 6.15805786e-02 9.44555916e-02 5.18730258e-01 4.00671507e-01
0.24218750 4.27255329e-02 9.92626233e-02 5.18994997e-01 3.96448589e-01
0.25000000 2.38631672e-02 1.03651452e-01 5.19175563e-01 3.91899141e-01
0.25781250 4.96721901e-03 1.07628409e-01 5.19314453e-01 3.87034527e-01
0.26562500 -1.39889102e-02 1.11200203e-01 5.19462255e-01 3.81867287e-01
0.27343750 -3.30312001e-02 1.14373854e-01 5.19677827e-01 3.76411258e-01
0.28125000 -5.21841847e-02 1.17156647e-01 5.20028408e-01 3.70681662e-01
0.28906250 -7.14701678e-02 1.19556076e-01 5.20589370e-01 3.64695151e-01
0.29687500 -9.09084366e-02 1.21579800e-01 5.21443300e-01 3.58469814e-01
0.30468750 -1.10514478e-01 1.23235605e-01 5.22677995e-01 3.52025141e-01
0.31250000 -1.30299265e-01 1.24531364e-01 5.24382916e-01 3.45381957e-01
0.32031250 -1.50268736e-01 1.25475007e-01 5.26643516e-01 3.38562308e-01
0.32812500 -1.70423677e-01 1.26074492e-01 5.29532761e-01 3.31589321e-01
0.33593750 -1.90760232e-01 1.26337781e-01 5.33099131e-01 3.24487033e-01
0.34375000 -2.11271323e-01 1.26272823e-01 5.37350377e-01 3.17280196e-01
0.35156250 -2.31949234e-01 1.25887536e-01 5.42232630e-01 3.09994054e-01
0.35937500 -2.52789535e-01 1.25189791e-01 5.47604997e-01 3.02654119e-01
0.36718750 -2.73796390e-01 1.24187407e-01 5.53210907e-01 2.95285927e-01
0.37500000 -2.94989073e-01 1.22888139e-01 5.58649098e-01 2.87914795e-01
0.38281250 -3.16409124e-01 1.21299674e-01 5.63349357e-01 2.80565580e-01
0.39062500 -3.38127077e-01 1.19429624e-01 5.66560560e-01 2.73262446e-01
0.39843750 -3.60246947e-01 1.17285522e-01 5.67360563e-01 2.66028642e-01
0.40625000 -3.82905755e-01 1.14874816e-01 5.64698166e-01 2.58886300e-01
0.41406250 -4.06264512e-01 1.12204870e-01 5.57475287e-01 2.51856254e-01
0.42187500 -4.30486701e-01 1.09282950e-01 5.44671663e-01 2.44957874e-01
0.42968750 -4.55701132e-01 1.06116230e-01 5.25504367e-01 2.38208945e-01
0.43750000 -4.81948784e-01 1.02711777e-01 4.99601286e-01 2.31625552e-01
0.44531250 -5.09118347e-01 9.90765494e-02 4.67154728e-01 2.25222014e-01
0.45312500 -5.36881785e-01 9.52173877e-02 4.29013606e-01 2.19010832e-01
0.46093750 -5.64647469e-01 9.11410098e-02 3.86675972e-01 2.13002678e-01
0.46875000 -5.91550947e-01 8.68540028e-02 3.42161341e-01 2.07206400e-01
0.47656250 -6.16499248e-01 8.23628170e-02 2.97772218e-01 2.01629066e-01
0.48437500 -6.38272882e-01 7.76737617e-02 2.55787696e-01 1.96276022e-01
0.49218750 -6.55672894e-01 7.27930015e-02 2.18155979e-01 1.91150980e-01
0.50000000 -6.67684546e-01 6.77265567e-02 1.86256121e-01 1.86256121e-01
0.50781250 -6.73621131e-01 6.24803059e-02 1.60779169e-01 1.81592218e-01
0.51562500 -6.73215007e-01 5.70599941e-02 1.41742827e-01 1.77158777e-01
0.52343750 -6.66637265e-01 5.14712457e-02 1.28616332e-01 1.72954185e-01
0.53125000 -6.54446597e-01 4.57195850e-02 1.20507560e-01 1.68975874e-01
0.53906250 -6.37485055e-01 3.98104639e-02 1.16359357e-01 1.65220493e-01
0.54687500 -6.16747961e-01 3.37493004e-02 1.15114096e-01 1.61684086e-01
0.55468750 -5.93255888e-01 2.75415274e-02 1.15825837e-01 1.58362280e-01
0.56250000 -5.67950169e-01 2.11926562e-02 1.17718554e-01 1.55250475e-01
0.57031250 -5.41623441e-01 1.47083546e-02 1.20201182e-01 1.52344047e-01
0.57812500 -5.14886895e-01 8.09454439e-03 1.22854565e-01 1.49638547e-01
0.58593750 -4.88168651e-01 1.35751921e-03 1.25404134e-01 1.47129920e-01
0.59375000 -4.61733891e-01 -5.49591236e-03 1.27688301e-01 1.44814728e-01
