# natural convection Ra=1e+06 Pr=0.71 N=130 Nz=1 op=CentralMoments
# s  theta(x=s,y=0.5)  theta(x=0.5,y=s)  u_x(x=0.5,y=s)*H/a  u_y(x=s,y=0.5)*H/a  Nu_local(y=s)
0.00390625 4.67210674e-01 -3.31751617e-01 -2.95217881e+00 4.58467374e+01 1.62265199e+01
0.01171875 4.01981116e-01 -3.31731198e-01 -8.71482289e+00 1.23449541e+02 1.65413348e+01
0.01953125 3.37966522e-01 -3.31655294e-01 -1.42187215e+01 1.75888839e+02 1.68207881e+01
0.02734375 2.76368415e-01 -3.31498934e-01 -1.94847436e+01 2.06657967e+02 1.70605456e+01
0.03515625 2.18595662e-01 -3.31239466e-01 -2.45230255e+01 2.19448799e+02 1.72019776e+01
0.04296875 1.65992813e-01 -3.30856480e-01 -2.93386995e+01 2.18091063e+02 1.72468589e+01
0.05078125 1.19628210e-01 -3.30331894e-01 -3.39299069e+01 2.06355107e+02 1.72080486e+01
0.05859375 8.01613562e-02 -3.29649959e-01 -3.82875473e+01 1.87714068e+02 1.71061975e+01
0.06640625 4.77976145e-02 -3.28797209e-01 -4.23957838e+01 1.65151641e+02 1.69582986e+01
0.07421875 2.23208464e-02 -3.27762367e-01 -4.62332556e+01 1.41055485e+02 1.67797109e+01
0.08203125 3.18022585e-03 -3.26536203e-01 -4.97748104e+01 1.17199156e+02 1.65815514e+01
0.08984375 -1.03979750e-02 -3.25111334e-01 -5.29935526e+01 9.47924309e+01 1.63724137e+01
0.09765625 -1.92993408e-02 -3.23481978e-01 -5.58630029e+01 7.45717923e+01 1.61581392e+01
0.10546875 -2.44280444e-02 -3.21643645e-01 -5.83591752e+01 5.69053266e+01 1.59428934e+01
0.11328125 -2.66389239e-02 -3.19592758e-01 -6.04624098e+01 4.18936964e+01 1.57293166e+01
0.12109375 -2.66951393e-02 -3.17326217e-01 -6.21588401e+01 2.94569286e+01 1.55191262e+01
0.12890625 -2.52473815e-02 -3.14840903e-01 -6.34414126e+01 1.94031854e+01 1.53132739e+01
0.13671875 -2.28290111e-02 -3.12133161e-01 -6.43104270e+01 1.14798303e+01 1.51122582e+01
0.14453125 -1.98616403e-02 -3.09198302e-01 -6.47736033e+01 5.40923516e+00 1.49162249e+01
0.15234375 -1.66666606e-02 -3.06030179e-01 -6.48457181e+01 9.12517127e-01 1.47251230e+01
0.16015625 -1.34794309e-02 -3.02620897e-01 -6.45478800e+01 -2.27568774e+00 1.45387589e+01
0.16796875 -1.04639579e-02 -2.98960741e-01 -6.39065299e+01 -4.39877730e+00 1.43568705e+01
0.17578125 -7.72677912e-03 -2.95038347e-01 -6.29522629e+01 -5.67400980e+00 1.41791538e+01
0.18359375 -5.32938511e-03 -2.90841173e-01 -6.17185676e+01 -6.29110642e+00 1.40052964e+01
0.19140625 -3.29892489e-03 -2.86356256e-01 -6.02405702e+01 -6.41259043e+00 1.38349879e+01
0.19921875 -1.63718494e-03 -2.81571213e-01 -5.85538603e+01 -6.17516996e+00 1.36679345e+01
0.20703125 -3.27960567e-04 -2.76475408e-01 -5.66934560e+01 -5.69171694e+00 1.35038615e+01
0.21484375 6.57003152e-04 -2.71061188e-01 -5.46929481e+01 -5.05355796e+00 1.33425184e+01
0.22265625 1.35330926e-03 -2.65325035e-01 -5.25838437e+01 -4.33289728e+00 1.31836782e+01
0.23046875 1.80026102e-03 -2.59268525e-01 -5.03951108e+01 -3.58525573e+00 1.30271381e+01
0.23828125 2.03810039e-03 -2.52898978e-01 -4.81529115e+01 -2.85184775e+00 1.28727175e+01
0.24609375 2.10598453e-03 -2.46229710e-01 -4.58804981e+01 -2.16184233e+00 1.27202570e+01
0.25390625 2.04057018e-03 -2.39279872e-01 -4.35982409e+01 -1.53446879e+00 1.25696161e+01
0.26171875 1.87509271e-03 -2.32073881e-01 -4.13237533e+01 -9.80940329e-01 1.24206717e+01
0.26953125 1.63884081e-03 -2.24640506e-01 -3.90720807e+01 -5.06177203e-01 1.22733159e+01
0.27734375 1.35694084e-03 -2.17011703e-01 -3.68559231e+01 -1.10320423e-01 1.21274542e+01
0.28515625 1.05037633e-03 -2.09221309e-01 -3.46858689e+01 2.09965782e-01 1.19830040e+01
0.29296875 7.36178969e-04 -2.01303707e-01 -3.25706219e+01 4.60397641e-01 1.18398927e+01
0.30078125 4.27737185e-04 -1.93292580e-01 -3.05172108e+01 6.48171004e-01 1.16980568e+01
0.30859375 1.35178048e-04 -1.85219807e-01 -2.85311769e+01 7.81240982e-01 1.15574401e+01
0.31640625 -1.34213488e-04 -1.77114588e-01 -2.66167371e+01 8.67764048e-01 1.14179930e+01
0.32421875 -3.75565890e-04 -1.69002805e-01 -2.47769251e+01 9.15682806e-01 1.12796714e+01
0.33203125 -5.86003948e-04 -1.60906626e-01 -2.30137137e+01 9.32432971e-01 1.11424357e+01
0.33984375 -7.64258223e-04 -1.52844341e-01 -2.13281215e+01 9.24752416e-01 1.10062503e+01
0.34765625 -9.10310856e-04 -1.44830384e-01 -1.97203081e+01 8.98573115e-01 1.08710832e+01
0.35546875 -1.02508337e-03 -1.36875528e-01 -1.81896616e+01 8.58978413e-01 1.07369049e+01
0.36328125 -1.11016871e-03 -1.28987175e-01 -1.67348788e+01 8.10209874e-01 1.06036886e+01
0.37109375 -1.16760728e-03 -1.21169740e-01 -1.53540418e+01 7.55710055e-01 1.04714093e+01
0.37890625 -1.19970483e-03 -1.13425065e-01 -1.40446917e+01 6.98189602e-01 1.03400443e+01
0.38671875 -1.20888871e-03 -1.05752848e-01 -1.28038975e+01 6.39709141e-01 1.02095723e+01
0.39453125 -1.19759840e-03 -9.81510631e-02 -1.16283238e+01 5.81768272e-01 1.00799734e+01
0.40234375 -1.16820577e-03 -9.06163520e-02 -1.05142939e+01 5.25395752e-01 9.95122953e+00
