# natural convection Ra=100000 Pr=0.71 N=50 Nz=50 op=CentralMoments
# s  theta(x=s,y=0.5)  theta(x=0.5,y=s)  u_x(x=0.5,y=s)*H/a  u_y(x=s,y=0.5)*H/a  Nu_local(y=s)
0.01041667 4.50281992e-01 -3.20932177e-01 -5.11925667e+00 2.00339825e+01 7.39183009e+00
0.03125000 3.52281003e-01 -3.20252704e-01 -1.45390786e+01 4.98225880e+01 7.58360828e+00
0.05208333 2.59484656e-01 -3.18679268e-01 -2.24036053e+01 6.33227260e+01 7.72848564e+00
0.07291667 1.76513157e-01 -3.15772905e-01 -2.86303624e+01 6.47180407e+01 7.81974026e+00
0.09375000 1.07505876e-01 -3.11245840e-01 -3.31773476e+01 5.83649477e+01 7.84237904e+00
0.11458333 5.46171714e-02 -3.04965241e-01 -3.60852330e+01 4.81671501e+01 7.80708847e+00
0.13541667 1.75696356e-02 -2.96943787e-01 -3.74785568e+01 3.70607616e+01 7.72833384e+00
0.15625000 -5.82475526e-03 -2.87312869e-01 -3.75497424e+01 2.68544639e+01 7.61932064e+00
0.17708333 -1.86890908e-02 -2.76280511e-01 -3.65335195e+01 1.83921593e+01 7.48965417e+00
0.19791667 -2.41926850e-02 -2.64081745e-01 -3.46801675e+01 1.18599946e+01 7.34596002e+00
0.21875000 -2.50175840e-02 -2.50931946e-01 -3.22329136e+01 7.08373016e+00 7.19253662e+00
0.23958333 -2.31746193e-02 -2.36992505e-01 -2.94116353e+01 3.74432328e+00 7.03212000e+00
0.26041667 -2.00400550e-02 -2.22354179e-01 -2.64028258e+01 1.50459009e+00 6.86643834e+00
0.28125000 -1.64854157e-02 -2.07038482e-01 -2.33547997e+01 6.89973772e-02 6.69661699e+00
0.30208333 -1.30206253e-02 -1.91013461e-01 -2.03769496e+01 -7.97195104e-01 6.52343632e+00
0.32291667 -9.91469165e-03 -1.74217946e-01 -1.75420239e+01 -1.26940634e+00 6.34749032e+00
0.34375000 -7.28486766e-03 -1.56587898e-01 -1.48905606e+01 -1.47346169e+00 6.16927397e+00
0.36458333 -5.15732511e-03 -1.38079543e-01 -1.24366899e+01 -1.49707607e+00 5.98922528e+00
0.38541667 -3.50607141e-03 -1.18685802e-01 -1.01745356e+01 -1.40021545e+00 5.80773859e+00
0.40625000 -2.27672778e-03 -9.84447143e-02 -8.08448399e+00 -1.22340338e+00 5.62516152e+00
0.42708333 -1.40040619e-03 -7.74403885e-02 -6.13869177e+00 -9.93950236e-01 5.44178327e+00
0.44791667 -8.01410371e-04 -5.57982906e-02 -4.30538585e+00 -7.30435324e-01 5.25782000e+00
0.46875000 -4.01240645e-04 -3.36771075e-02 -2.55174134e+00 -4.45855680e-01 5.07340086e+00
0.48958333 -1.20478614e-04 -1.12591835e-02 -8.45366309e-01 -1.49828108e-01 4.88855773e+00
0.51041667 1.20478614e-04 1.12591835e-02 8.45366309e-01 1.49828108e-01 4.70322062e+00
0.53125000 4.01240645e-04 3.36771075e-02 2.55174134e+00 4.45855680e-01 4.51722046e+00
0.55208333 8.01410371e-04 5.57982906e-02 4.30538585e+00 7.30435324e-01 4.33030025e+00
0.57291667 1.40040619e-03 7.74403885e-02 6.13869177e+00 9.93950236e-01 4.14213508e+00
0.59375000 2.27672778e-03 9.84447143e-02 8.08448399e+00 1.22340338e+00 3.95236043e+00
0.61458333 3.50607141e-03 1.18685802e-01 1.01745356e+01 1.40021545e+00 3.76060738e+00
0.63541667 5.15732511e-03 1.38079543e-01 1.24366899e+01 1.49707607e+00 3.56654196e+00
0.65625000 7.28486766e-03 1.56587898e-01 1.48905606e+01 1.47346169e+00 3.36990484e+00
0.67708333 9.91469165e-03 1.74217946e-01 1.75420239e+01 1.26940634e+00 3.17054685e+00
0.69791667 1.30206253e-02 1.91013461e-01 2.03769496e+01 7.97195104e-01 2.96845608e+00
0.71875000 1.64854157e-02 2.07038482e-01 2.33547997e+01 -6.89973772e-02 2.76377567e+00
0.73958333 2.00400550e-02 2.22354179e-01 2.64028258e+01 -1.50459009e+00 2.55681863e+00
0.76041667 2.31746193e-02 2.36992505e-01 2.94116353e+01 -3.74432328e+00 2.34809907e+00
0.78125000 2.50175840e-02 2.50931946e-01 3.22329136e+01 -7.08373016e+00 2.13841484e+00
0.80208333 2.41926850e-02 2.64081745e-01 3.46801675e+01 -1.18599946e+01 1.92902190e+00
0.82291667 1.86890908e-02 2.76280511e-01 3.65335195e+01 -1.83921593e+01 1.72192133e+00
0.84375000 5.82475526e-03 2.87312869e-01 3.75497424e+01 -2.68544639e+01 1.52020999e+00
0.86458333 -1.75696356e-02 2.96943787e-01 3.74785568e+01 -3.70607616e+01 1.32836616e+00
0.88541667 -5.46171714e-02 3.04965241e-01 3.60852330e+01 -4.81671501e+01 1.15222008e+00
0.90625000 -1.07505876e-01 3.11245840e-01 3.31773476e+01 -5.83649477e+01 9.98470078e-01
0.92708333 -1.76513157e-01 3.15772905e-01 2.86303624e+01 -6.47180407e+01 8.73621864e-01
0.94791667 -2.59484656e-01 3.18679268e-01 2.24036053e+01 -6.33227260e+01 7.83494991e-01
0.96875000 -3.52281003e-01 3.20252704e-01 1.45390786e+01 -4.98225880e+01 7.31250769e-01
0.98958333 -4.50281992e-01 3.20932177e-01 5.11925667e+00 -2.00339825e+01 7.22848235e-01
