# Zhou et al. (2026) Sec. 3.2 (2-D) and 3.6 (3-D): natural convection in a
# differentially heated cavity, Pr = 0.71, hot x=0 / cold x=L, every other
# wall adiabatic and no-slip. M3LB D3Q27 fluid + D3Q7 BGK temperature,
# midway wall family, Esoteric Pull, FP64.
# Velocities scaled by alpha/H; extrema taken on the z = L/2 plane.
# de Vahl Davis (1983), Richardson-extrapolated:
#   Ra=1e5  Nu=4.519  u*max=34.73@0.855  v*max=68.59@0.066
#   Ra=1e6  Nu=8.800  u*max=64.63@0.850  v*max=219.36@0.0379
# Nu_hot and Nu_cold are equal identically -- the configuration is
# centro-symmetric -- so Nu_vol = 1 + <u_x theta> H/alpha is the
# independent estimator, and <u_x>H/alpha must be ~0 for it to hold.
# dim Ra N H op uc Nu_hot Nu_cold Nu_vol ux_mean Nu_max y_max Nu_min y_min u*max y_u v*max x_v tau_f tau_T Ma res drift steps conv
2 1e+05 130 128 cm 0.1 4.520255 4.520255 4.519225 2.34e-15 7.701897 0.082031 0.731897 0.996094 34.7334 0.855469 68.6535 0.066406 0.602320 0.692150 0.044641 2.408e-08 8.485e-09 118000 1
2 1e+05 50 48 cm 0.1 4.514702 4.514702 4.499852 2.18e-16 7.544722 0.093750 0.799865 0.989583 34.5868 0.843750 68.0691 0.072917 0.538370 0.572056 0.044322 5.506e-09 1.735e-09 52000 1
2 1e+05 66 64 bgk 0.1 4.512886 4.512886 4.505895 -9.21e-15 7.596077 0.085938 0.767314 0.992188 34.7125 0.851562 68.3694 0.070312 0.551160 0.596075 0.044485 1.235e-13 7.443e-14 108000 1
2 1e+05 66 64 cm 0.1 4.517733 4.517733 4.510697 8.42e-16 7.618044 0.085938 0.766247 0.992188 34.7315 0.851562 68.3983 0.070312 0.551160 0.596075 0.044505 1.773e-13 4.862e-14 104000 1
2 1e+05 98 96 cm 0.1 4.519613 4.519613 4.517293 -1.33e-16 7.677205 0.088542 0.740909 0.994792 34.7054 0.859375 68.6032 0.067708 0.576740 0.644113 0.044616 9.057e-09 5.072e-09 98000 1
2 1e+06 130 128 cm 0.1 8.818466 8.818466 8.805908 -1.35e-15 17.246859 0.042969 1.047418 0.988281 64.8457 0.847656 219.4488 0.035156 0.532356 0.560763 0.045347 1.451e-08 7.087e-09 268000 1
2 1e+06 66 64 bgk 0.1 8.789420 8.789420 8.720193 4.13e-13 16.611889 0.039062 1.228494 0.976562 64.6898 0.851562 218.7134 0.039062 0.516178 0.530382 0.045069 2.147e-13 6.064e-14 228000 1
2 1e+06 66 64 cm 0.1 8.802200 8.802200 8.732400 6.17e-15 16.632042 0.054688 1.219544 0.976562 64.6852 0.851562 218.8594 0.039062 0.516178 0.530382 0.045096 2.777e-13 9.123e-14 228000 1
2 1e+06 98 96 cm 0.1 8.815116 8.815116 8.788543 -2.71e-15 17.056858 0.046875 1.096575 0.984375 64.8455 0.848958 219.6457 0.036458 0.524267 0.545572 0.045334 2.990e-08 6.520e-09 192000 1
3 1e+05 50 48 cm 0.2 4.329605 4.329605 4.315415 3.34e-17 7.842379 0.093750 0.722848 0.989583 37.5497 0.843750 64.7180 0.072917 0.576740 0.644113 0.092445 7.104e-09 5.501e-09 24000 1
3 1e+06 50 48 cm 0.2 8.571643 8.571643 8.449859 1.86e-17 16.676700 0.052083 1.321019 0.968750 68.1807 0.864583 206.4028 0.031250 0.524267 0.545572 0.093573 3.375e-09 6.817e-09 51000 1
