# 3.4 normal plate velocity: H=200 Pe=100 tau=0.8 walls=abb
# y/H  theta_num  theta_ana
0.00250000 9.4368957093e-16 1.0565961292e-44
0.00750000 2.9420910153e-15 4.1553249270e-44
0.01250000 5.1070259133e-15 9.2642650081e-44
0.01750000 6.9388939039e-15 1.7687483191e-43
0.02250000 8.6597395921e-15 3.1575022176e-43
0.02750000 1.0491607583e-14 5.4471703098e-43
0.03250000 1.2378986725e-14 9.2221947963e-43
0.03750000 1.4488410471e-14 1.5446157965e-42
0.04250000 1.6653345369e-14 2.5707738428e-42
0.04750000 1.8596235662e-14 4.2626224410e-42
0.05250000 2.0705659409e-14 7.0520092116e-42
0.05750000 2.2870594307e-14 1.1650930512e-41
0.06250000 2.4702462298e-14 1.9233269883e-41
0.06750000 2.6423307986e-14 3.1734434086e-41
0.07250000 2.8255175977e-14 5.2345369415e-41
0.07750000 3.0031532816e-14 8.6327056902e-41
0.08250000 3.1863400807e-14 1.4235338788e-40
0.08750000 3.3584246495e-14 2.3472519147e-40
0.09250000 3.5305092183e-14 3.8702054887e-40
0.09750000 3.7136960174e-14 6.3811314405e-40
0.10250000 3.8913317013e-14 1.0520948466e-39
0.10750000 4.0745185004e-14 1.7346352854e-39
0.11250000 4.2965631053e-14 2.8599542248e-39
0.11750000 4.5186077102e-14 4.7152914966e-39
0.12250000 4.7351012000e-14 7.7742255209e-39
0.12750000 4.9515946898e-14 1.2817555112e-38
0.13250000 5.1347814889e-14 2.1132599885e-38
0.13750000 5.3068660577e-14 3.4841791069e-38
0.14250000 5.4900528568e-14 5.7444426177e-38
0.14750000 5.6676885407e-14 9.4709871454e-38
0.15250000 5.8508753398e-14 1.5615020374e-37
0.15750000 6.0729199447e-14 2.5744818647e-37
0.16250000 6.2949645496e-14 4.2446032527e-37
0.16750000 6.5114580394e-14 6.9981679098e-37
0.17250000 6.7279515292e-14 1.1538028530e-36
0.17750000 6.9111383283e-14 1.9022993301e-36
0.18250000 7.0832228971e-14 3.1363613929e-36
0.18750000 7.2664096962e-14 5.1709857652e-36
0.19250000 7.4440453801e-14 8.5255142457e-36
0.19750000 7.6272321792e-14 1.4056196705e-35
0.20250000 7.8492767841e-14 2.3174750516e-35
0.20750000 8.0713213890e-14 3.8208704143e-35
0.21250000 8.2878148788e-14 6.2995503271e-35
0.21750000 8.5043083686e-14 1.0386202623e-34
0.22250000 8.6874951677e-14 1.7123953188e-34
0.22750000 8.8595797365e-14 2.8232625862e-34
0.23250000 9.0427665356e-14 4.6547730789e-34
0.23750000 9.2204022195e-14 7.6744233857e-34
0.24250000 9.4035890186e-14 1.2652985077e-33
0.24750000 9.6256336235e-14 2.0861245634e-33
0.25250000 9.8476782284e-14 3.4394379410e-33
0.25750000 1.0064171718e-13 5.6706744926e-33
0.26250000 1.0280665208e-13 9.3493616552e-33
0.26750000 1.0463852007e-13 1.5414491428e-32
0.27250000 1.0635936576e-13 2.5414199895e-32
0.27750000 1.0819123375e-13 4.1900931945e-32
0.28250000 1.0996759059e-13 6.9082957760e-32
0.28750000 1.1179945858e-13 1.1389854190e-31
0.29250000 1.1401990463e-13 1.8778694873e-31
0.29750000 1.1624035068e-13 3.0960833674e-31
0.30250000 1.1840528558e-13 5.1045785037e-31
0.30750000 1.2057022047e-13 8.4160271570e-31
0.31250000 1.2240208846e-13 1.3875682988e-30
