# 3.4 normal plate velocity: H=200 Pe=100 tau=0.8 walls=moment
# y/H  theta_num  theta_ana
0.00500000 1.6653345369e-15 2.4132924143e-44
0.01000000 3.3861802251e-15 6.3921389501e-44
0.01500000 5.2180482157e-15 1.2952147867e-43
0.02000000 7.4384942650e-15 2.3767774103e-43
0.02500000 9.6589403142e-15 4.1599727135e-43
0.03000000 1.1823875212e-14 7.0999647397e-43
0.03500000 1.3988810110e-14 1.1947192129e-42
0.04000000 1.5820678101e-14 1.9938919030e-42
0.04500000 1.7541523789e-14 3.3115049161e-42
0.05000000 1.9373391780e-14 5.4838815173e-42
0.05500000 2.1149748619e-14 9.0655250277e-42
0.06000000 2.2981616610e-14 1.4970656867e-41
0.06500000 2.5202062659e-14 2.4706573338e-41
0.07000000 2.7422508708e-14 4.0758385912e-41
0.07500000 2.9587443606e-14 6.7223350737e-41
0.08000000 3.1752378504e-14 1.1085670117e-40
0.08500000 3.3584246495e-14 1.8279593415e-40
0.09000000 3.5305092183e-14 3.0140367775e-40
0.09500000 3.7136960174e-14 4.9695478749e-40
0.10000000 3.8913317013e-14 8.1936406164e-40
0.10500000 4.0745185004e-14 1.3509270898e-39
0.11000000 4.2965631053e-14 2.2273263610e-39
0.11500000 4.5186077102e-14 3.6722644812e-39
0.12000000 4.7351012000e-14 6.0545646946e-39
0.12500000 4.9515946898e-14 9.9823137298e-39
0.13000000 5.1347814889e-14 1.6458077110e-38
0.13500000 5.3068660577e-14 2.7134805939e-38
0.14000000 5.4900528568e-14 4.4737755861e-38
0.14500000 5.6676885407e-14 7.3760113824e-38
0.15000000 5.8508753398e-14 1.2160989272e-37
0.15500000 6.0729199447e-14 2.0050084100e-37
0.16000000 6.2949645496e-14 3.3057002548e-37
0.16500000 6.5114580394e-14 5.4501785659e-37
0.17000000 6.7279515292e-14 8.9858255720e-37
0.17500000 6.9111383283e-14 1.4815121997e-36
0.18000000 7.0832228971e-14 2.4426007005e-36
