# 3-D Hartmann flow (Dellar, moment-based magnetic boundary conditions).
# D3Q27 MhdBGK fluid + D3Q7 MagneticBGK, Esoteric Pull, FP64.
# Walls at y = 0 and y = ny-1, ON the node for BOTH families: regularised
# velocity walls and Dellar's moment condition. Periodic in x and z.
# B0 is normal to the walls; the force drives x. Ha = B0 L / sqrt(nu eta),
# L = (ny-1)/2. Ha = 0 is the field-free parabola, B0 = 0.
# Exact (Eq. 14): b = A[sinh(Ha xi)/sinh(Ha) - xi],
#   u = A sqrt(eta/nu) coth(Ha)[1 - cosh(Ha xi)/cosh(Ha)], A = F L / B0.
# l2 is relative and taken over EVERY node, so x or z structure is in it;
# spread is the max range over (x,z) at fixed y, over the peak.
# ha ny nx nz nu prm B0 F tau_f tau_m delta l2u l2b wall_u wall_b spread_u spread_b umax_num umax_ana spread_seed drift steps conv
0 17 8 8 0.1 1 0.00000000e+00 6.25000000e-05 0.800000 0.900000 0.0000 4.419451e-03 0.000000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.99333333e-02 2.00000000e-02 0.000e+00 8.553e-11 6000 1
0 33 8 8 0.1 1 0.00000000e+00 1.56250000e-05 0.800000 0.900000 0.0000 1.123118e-03 0.000000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.99833333e-02 2.00000000e-02 0.000e+00 8.873e-11 24000 1
0 65 8 8 0.1 1 0.00000000e+00 3.90625000e-06 0.800000 0.900000 0.0000 2.830348e-04 0.000000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.99958333e-02 2.00000000e-02 0.000e+00 9.020e-11 96000 1
0 17 8 8 0.166667 1 0.00000000e+00 1.04166667e-04 1.000000 1.166667 0.0000 6.870737e-12 0.000000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.00000000e-02 2.00000000e-02 0.000e+00 6.855e-12 4000 1
0 33 8 8 0.166667 1 0.00000000e+00 2.60416667e-05 1.000000 1.166667 0.0000 7.658533e-11 0.000000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.00000000e-02 2.00000000e-02 0.000e+00 7.646e-11 14500 1
0 65 8 8 0.166667 1 0.00000000e+00 6.51041667e-06 1.000000 1.166667 0.0000 9.367091e-11 0.000000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.00000000e-02 2.00000000e-02 0.000e+00 9.322e-11 57500 1
10 17 8 8 0.1 1 1.25000000e-01 3.12528376e-04 0.800000 0.900000 0.8000 1.886948e-02 4.723288e-02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.97973099e-02 2.00000000e-02 0.000e+00 9.702e-22 1500 1
10 33 8 8 0.1 1 6.25000000e-02 7.81320941e-05 0.800000 0.900000 1.6000 4.344750e-03 1.136203e-02 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.99374635e-02 2.00000000e-02 0.000e+00 6.041e-13 2500 1
10 65 8 8 0.1 1 3.12500000e-02 1.95330235e-05 0.800000 0.900000 3.2000 1.075524e-03 2.842643e-03 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.99824457e-02 2.00000000e-02 0.000e+00 2.756e-11 10000 1
10 129 8 8 0.1 1 1.56250000e-02 4.88325588e-06 0.800000 0.900000 6.4000 2.735173e-04 7.314466e-04 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.99955025e-02 2.00000000e-02 0.000e+00 8.714e-11 39000 1
1 17 8 8 0.1 1 1.25000000e-02 6.76235442e-05 0.800000 0.900000 8.0000 3.583360e-03 1.386594e-03 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.99517927e-02 2.00000000e-02 0.000e+00 7.234e-11 5500 1
1 33 8 8 0.1 1 6.25000000e-03 1.69058860e-05 0.800000 0.900000 16.0000 9.286226e-04 4.573576e-04 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.99876616e-02 2.00000000e-02 0.000e+00 7.319e-11 22000 1
1 65 8 8 0.1 1 3.12500000e-03 4.22647151e-06 0.800000 0.900000 32.0000 2.362675e-04 1.272777e-04 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.99968172e-02 2.00000000e-02 0.000e+00 9.563e-11 87000 1
1 129 8 8 0.1 1 1.56250000e-03 1.05661788e-06 0.800000 0.900000 64.0000 5.951525e-05 3.126348e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.99991320e-02 2.00000000e-02 0.000e+00 8.004e-11 348500 1
