# 3-D Hartmann: ny=65 nx=8 nz=8 Ha=0 nu=0.166667 Pr_m=1
# B0=0.00000000e+00 F=6.51041667e-06  delta=L/Ha=0.0000 cells
# y/L  u_num  u_exact  b_num  b_exact
-1.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
-0.96875000 1.2304687499e-03 1.2304687500e-03 0.0000000000e+00 0.0000000000e+00
-0.93750000 2.4218749998e-03 2.4218750000e-03 0.0000000000e+00 0.0000000000e+00
-0.90625000 3.5742187497e-03 3.5742187500e-03 0.0000000000e+00 0.0000000000e+00
-0.87500000 4.6874999996e-03 4.6875000000e-03 0.0000000000e+00 0.0000000000e+00
-0.84375000 5.7617187495e-03 5.7617187500e-03 0.0000000000e+00 0.0000000000e+00
-0.81250000 6.7968749994e-03 6.7968750000e-03 0.0000000000e+00 0.0000000000e+00
-0.78125000 7.7929687493e-03 7.7929687500e-03 0.0000000000e+00 0.0000000000e+00
-0.75000000 8.7499999993e-03 8.7500000000e-03 0.0000000000e+00 0.0000000000e+00
-0.71875000 9.6679687492e-03 9.6679687500e-03 0.0000000000e+00 0.0000000000e+00
-0.68750000 1.0546874999e-02 1.0546875000e-02 0.0000000000e+00 0.0000000000e+00
-0.65625000 1.1386718749e-02 1.1386718750e-02 0.0000000000e+00 0.0000000000e+00
-0.62500000 1.2187499999e-02 1.2187500000e-02 0.0000000000e+00 0.0000000000e+00
-0.59375000 1.2949218749e-02 1.2949218750e-02 0.0000000000e+00 0.0000000000e+00
-0.56250000 1.3671874999e-02 1.3671875000e-02 0.0000000000e+00 0.0000000000e+00
-0.53125000 1.4355468749e-02 1.4355468750e-02 0.0000000000e+00 0.0000000000e+00
-0.50000000 1.4999999999e-02 1.5000000000e-02 0.0000000000e+00 0.0000000000e+00
-0.46875000 1.5605468749e-02 1.5605468750e-02 0.0000000000e+00 0.0000000000e+00
-0.43750000 1.6171874999e-02 1.6171875000e-02 0.0000000000e+00 0.0000000000e+00
-0.40625000 1.6699218748e-02 1.6699218750e-02 0.0000000000e+00 0.0000000000e+00
-0.37500000 1.7187499998e-02 1.7187500000e-02 0.0000000000e+00 0.0000000000e+00
-0.34375000 1.7636718748e-02 1.7636718750e-02 0.0000000000e+00 0.0000000000e+00
-0.31250000 1.8046874998e-02 1.8046875000e-02 0.0000000000e+00 0.0000000000e+00
-0.28125000 1.8417968748e-02 1.8417968750e-02 0.0000000000e+00 0.0000000000e+00
-0.25000000 1.8749999998e-02 1.8750000000e-02 0.0000000000e+00 0.0000000000e+00
-0.21875000 1.9042968748e-02 1.9042968750e-02 0.0000000000e+00 0.0000000000e+00
-0.18750000 1.9296874998e-02 1.9296875000e-02 0.0000000000e+00 0.0000000000e+00
-0.15625000 1.9511718748e-02 1.9511718750e-02 0.0000000000e+00 0.0000000000e+00
-0.12500000 1.9687499998e-02 1.9687500000e-02 0.0000000000e+00 0.0000000000e+00
-0.09375000 1.9824218748e-02 1.9824218750e-02 0.0000000000e+00 0.0000000000e+00
-0.06250000 1.9921874998e-02 1.9921875000e-02 0.0000000000e+00 0.0000000000e+00
-0.03125000 1.9980468748e-02 1.9980468750e-02 0.0000000000e+00 0.0000000000e+00
0.00000000 1.9999999998e-02 2.0000000000e-02 0.0000000000e+00 0.0000000000e+00
0.03125000 1.9980468748e-02 1.9980468750e-02 0.0000000000e+00 0.0000000000e+00
0.06250000 1.9921874998e-02 1.9921875000e-02 0.0000000000e+00 0.0000000000e+00
0.09375000 1.9824218748e-02 1.9824218750e-02 0.0000000000e+00 0.0000000000e+00
0.12500000 1.9687499998e-02 1.9687500000e-02 0.0000000000e+00 0.0000000000e+00
0.15625000 1.9511718748e-02 1.9511718750e-02 0.0000000000e+00 0.0000000000e+00
0.18750000 1.9296874998e-02 1.9296875000e-02 0.0000000000e+00 0.0000000000e+00
0.21875000 1.9042968748e-02 1.9042968750e-02 0.0000000000e+00 0.0000000000e+00
0.25000000 1.8749999998e-02 1.8750000000e-02 0.0000000000e+00 0.0000000000e+00
0.28125000 1.8417968748e-02 1.8417968750e-02 0.0000000000e+00 0.0000000000e+00
0.31250000 1.8046874998e-02 1.8046875000e-02 0.0000000000e+00 0.0000000000e+00
0.34375000 1.7636718748e-02 1.7636718750e-02 0.0000000000e+00 0.0000000000e+00
0.37500000 1.7187499998e-02 1.7187500000e-02 0.0000000000e+00 0.0000000000e+00
0.40625000 1.6699218748e-02 1.6699218750e-02 0.0000000000e+00 0.0000000000e+00
0.43750000 1.6171874999e-02 1.6171875000e-02 0.0000000000e+00 0.0000000000e+00
0.46875000 1.5605468749e-02 1.5605468750e-02 0.0000000000e+00 0.0000000000e+00
0.50000000 1.4999999999e-02 1.5000000000e-02 0.0000000000e+00 0.0000000000e+00
0.53125000 1.4355468749e-02 1.4355468750e-02 0.0000000000e+00 0.0000000000e+00
0.56250000 1.3671874999e-02 1.3671875000e-02 0.0000000000e+00 0.0000000000e+00
0.59375000 1.2949218749e-02 1.2949218750e-02 0.0000000000e+00 0.0000000000e+00
0.62500000 1.2187499999e-02 1.2187500000e-02 0.0000000000e+00 0.0000000000e+00
0.65625000 1.1386718749e-02 1.1386718750e-02 0.0000000000e+00 0.0000000000e+00
0.68750000 1.0546874999e-02 1.0546875000e-02 0.0000000000e+00 0.0000000000e+00
0.71875000 9.6679687492e-03 9.6679687500e-03 0.0000000000e+00 0.0000000000e+00
0.75000000 8.7499999993e-03 8.7500000000e-03 0.0000000000e+00 0.0000000000e+00
0.78125000 7.7929687493e-03 7.7929687500e-03 0.0000000000e+00 0.0000000000e+00
0.81250000 6.7968749994e-03 6.7968750000e-03 0.0000000000e+00 0.0000000000e+00
0.84375000 5.7617187495e-03 5.7617187500e-03 0.0000000000e+00 0.0000000000e+00
0.87500000 4.6874999996e-03 4.6875000000e-03 0.0000000000e+00 0.0000000000e+00
0.90625000 3.5742187497e-03 3.5742187500e-03 0.0000000000e+00 0.0000000000e+00
0.93750000 2.4218749998e-03 2.4218750000e-03 0.0000000000e+00 0.0000000000e+00
0.96875000 1.2304687499e-03 1.2304687500e-03 0.0000000000e+00 0.0000000000e+00
1.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
