# 3-D Hartmann: ny=129 nx=8 nz=8 Ha=1 nu=0.1 Pr_m=1
# B0=1.56250000e-03 F=1.05661788e-06  delta=L/Ha=64.0000 cells
# y/L  u_num  u_exact  b_num  b_exact
-1.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
-0.98437500 6.6820925572e-04 6.6932593430e-04 2.0643781110e-04 2.0643848775e-04
-0.96875000 1.3238348996e-03 1.3249412337e-03 4.0253316205e-04 4.0252608270e-04
-0.95312500 1.9659100673e-03 1.9670059639e-03 5.8849022541e-04 5.8847575868e-04
-0.93750000 2.5945916578e-03 2.5956768821e-03 7.6451950160e-04 7.6449801437e-04
-0.92187500 3.2100332560e-03 3.2111074755e-03 9.3082906538e-04 9.3080092475e-04
-0.90625000 3.8123851767e-03 3.8134479988e-03 1.0876246173e-03 1.0875901918e-03
-0.89062500 4.4017945060e-03 4.4028455108e-03 1.2351095344e-03 1.2350691949e-03
-0.87500000 4.9784051431e-03 4.9794439103e-03 1.3734849206e-03 1.3734390403e-03
-0.85937500 5.5423578395e-03 5.5433839713e-03 1.5029496557e-03 1.5028986102e-03
-0.84375000 6.0937902376e-03 6.0948033771e-03 1.6237004448e-03 1.6236446116e-03
-0.82812500 6.6328369080e-03 6.6338367546e-03 1.7359318661e-03 1.7358716239e-03
-0.81250000 7.1596293857e-03 7.1606157061e-03 1.8398364191e-03 1.8397721468e-03
-0.79687500 7.6742962053e-03 7.6752688427e-03 1.9356045713e-03 1.9355366470e-03
-0.78125000 8.1769629348e-03 8.1779218144e-03 2.0234248052e-03 2.0233536050e-03
-0.76562500 8.6677522090e-03 8.6686973419e-03 2.1034836641e-03 2.1034095607e-03
-0.75000000 9.1467837609e-03 9.1477152457e-03 2.1759657977e-03 2.1758891593e-03
-0.73437500 9.6141744535e-03 9.6150924761e-03 2.2410540076e-03 2.2409751964e-03
-0.71875000 1.0070038309e-02 1.0070943141e-02 2.2989292913e-03 2.2988486623e-03
-0.70312500 1.0514486540e-02 1.0515378535e-02 2.3497708868e-03 2.3496887865e-03
-0.68750000 1.0947627573e-02 1.0948507164e-02 2.3937563162e-03 2.3936730812e-03
-0.67187500 1.1369567083e-02 1.1370434775e-02 2.4310614289e-03 2.4309773850e-03
-0.65625000 1.1780408015e-02 1.1781264379e-02 2.4618604444e-03 2.4617759053e-03
-0.64062500 1.2180250609e-02 1.2181096280e-02 2.4863259948e-03 2.4862412615e-03
-0.62500000 1.2569192429e-02 1.2570028094e-02 2.5046291670e-03 2.5045445266e-03
-0.60937500 1.2947328385e-02 1.2948154777e-02 2.5169395440e-03 2.5168552690e-03
-0.59375000 1.3314750756e-02 1.3315568647e-02 2.5234252467e-03 2.5233415944e-03
-0.57812500 1.3671549213e-02 1.3672359406e-02 2.5242529741e-03 2.5241701863e-03
-0.56250000 1.4017810843e-02 1.4018614164e-02 2.5195880446e-03 2.5195063467e-03
-0.54687500 1.4353620167e-02 1.4354417457e-02 2.5095944357e-03 2.5095140371e-03
-0.53125000 1.4679059160e-02 1.4679851270e-02 2.4944348244e-03 2.4943559176e-03
-0.51562500 1.4994207277e-02 1.4994995056e-02 2.4742706263e-03 2.4741933875e-03
-0.50000000 1.5299141463e-02 1.5299925756e-02 2.4492620352e-03 2.4491866240e-03
-0.48437500 1.5593936181e-02 1.5594717818e-02 2.4195680620e-03 2.4194946218e-03
-0.46875000 1.5878663423e-02 1.5879443213e-02 2.3853465735e-03 2.3852752315e-03
-0.45312500 1.6153392728e-02 1.6154171457e-02 2.3467543307e-03 2.3466851986e-03
-0.43750000 1.6418191201e-02 1.6418969623e-02 2.3039470272e-03 2.3038802014e-03
-0.42187500 1.6673123530e-02 1.6673902360e-02 2.2570793268e-03 2.2570148891e-03
-0.40625000 1.6918251995e-02 1.6919031908e-02 2.2063049014e-03 2.2062429197e-03
-0.39062500 1.7153636490e-02 1.7154418116e-02 2.1517764686e-03 2.1517169973e-03
-0.37500000 1.7379334533e-02 1.7380118452e-02 2.0936458284e-03 2.0935889096e-03
-0.35937500 1.7595401280e-02 1.7596188020e-02 2.0320639007e-03 2.0320095647e-03
-0.34375000 1.7801889538e-02 1.7802679571e-02 1.9671807622e-03 1.9671290282e-03
-0.32812500 1.7998849780e-02 1.7999643520e-02 1.8991456822e-03 1.8990965598e-03
-0.31250000 1.8186330151e-02 1.8187127955e-02 1.8281071599e-03 1.8280606495e-03
-0.29687500 1.8364376487e-02 1.8365178649e-02 1.7542129602e-03 1.7541690541e-03
-0.28125000 1.8533032318e-02 1.8533839073e-02 1.6776101498e-03 1.6775688331e-03
-0.26562500 1.8692338882e-02 1.8693150404e-02 1.5984451332e-03 1.5984063850e-03
-0.25000000 1.8842335136e-02 1.8843151537e-02 1.5168636884e-03 1.5168274824e-03
-0.23437500 1.8983057761e-02 1.8983879095e-02 1.4330110023e-03 1.4329773081e-03
-0.21875000 1.9114541175e-02 1.9115367436e-02 1.3470317065e-03 1.3470004904e-03
-0.20312500 1.9236817537e-02 1.9237648661e-02 1.2590699125e-03 1.2590411383e-03
-0.18750000 1.9349916756e-02 1.9350752626e-02 1.1692692468e-03 1.1692428767e-03
-0.17187500 1.9453866498e-02 1.9454706944e-02 1.0777728860e-03 1.0777488819e-03
-0.15625000 1.9548692192e-02 1.9549536995e-02 9.8472359220e-04 9.8470191576e-04
-0.14062500 1.9634417039e-02 1.9635265931e-02 8.9026374725e-04 8.9024436123e-04
-0.12500000 1.9711062011e-02 1.9711914684e-02 7.9453538809e-04 7.9451825682e-04
-0.10937500 1.9778645862e-02 1.9779501965e-02 6.9768024126e-04 6.9766533132e-04
-0.09375000 1.9837185126e-02 1.9838044277e-02 5.9983975759e-04 5.9982703842e-04
-0.07812500 1.9886694129e-02 1.9887555912e-02 5.0115514683e-04 5.0114459123e-04
-0.06250000 1.9927184985e-02 1.9928048958e-02 4.0176741218e-04 4.0175899677e-04
-0.04687500 1.9958667602e-02 1.9959533302e-02 3.0181738477e-04 3.0181109040e-04
-0.03125000 1.9981149684e-02 1.9982016630e-02 2.0144575815e-04 2.0144157016e-04
-0.01562500 1.9994636733e-02 1.9995504432e-02 1.0079312269e-04 1.0079103119e-04
0.00000000 1.9999132049e-02 2.0000000000e-02 -3.8301010207e-17 0.0000000000e+00
0.01562500 1.9994636733e-02 1.9995504432e-02 -1.0079312269e-04 -1.0079103119e-04
0.03125000 1.9981149684e-02 1.9982016630e-02 -2.0144575815e-04 -2.0144157016e-04
0.04687500 1.9958667602e-02 1.9959533302e-02 -3.0181738477e-04 -3.0181109040e-04
0.06250000 1.9927184985e-02 1.9928048958e-02 -4.0176741218e-04 -4.0175899677e-04
0.07812500 1.9886694129e-02 1.9887555912e-02 -5.0115514683e-04 -5.0114459123e-04
0.09375000 1.9837185126e-02 1.9838044277e-02 -5.9983975759e-04 -5.9982703842e-04
0.10937500 1.9778645862e-02 1.9779501965e-02 -6.9768024126e-04 -6.9766533132e-04
0.12500000 1.9711062011e-02 1.9711914684e-02 -7.9453538809e-04 -7.9451825682e-04
0.14062500 1.9634417039e-02 1.9635265931e-02 -8.9026374725e-04 -8.9024436123e-04
0.15625000 1.9548692192e-02 1.9549536995e-02 -9.8472359220e-04 -9.8470191576e-04
0.17187500 1.9453866498e-02 1.9454706944e-02 -1.0777728860e-03 -1.0777488819e-03
