# De Rosis & Enan, Phys. Fluids 33, 043315 (2021), Sec. III, first group:
# interface capture with a PRESCRIBED velocity -- no fluid operator involved.
# M3LB PhaseFieldBGK (conservative Allen-Cahn, their Sec. II.B) + Esoteric
# Pull, periodic everywhere, FP64. 2-D cases run with one periodic cell in z.
# e is their Eq. (71); Pe = U0 xi / M; T = L0/U0.
# The comparison column is their FD (Eq. 20) result: the moment gradient of
# their Eq. (70) is not implemented here -- it reads the node's own
# populations, which is a race under Esoteric Pull.
# case lat L0 R xi U0 Pe M omega cycles steps e ref_fd phi_min phi_max mass_drift
translate41 d3q27 100 25 3 0.02 60 1.000000e-03 1.988072 10 50000 0.008172 0.013400 -0.003943 1.004513 -5.222e-12
zalesak d3q27 200 80 3 0.02 80 7.500000e-04 1.991040 1 10000 0.028221 0.059300 -0.400264 1.013917 -1.067e-12
zalesak d3q27 200 80 3 0.02 400 1.500000e-04 1.998202 1 10000 nan 0.059000 1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000 -100000000000000005250476025520442024870446858110815915491585411551180245798890819578637137508044786404370444383288387817694252
sphere3d d3q27 100 20 3 0.02 60 1.000000e-03 1.988072 1 5000 0.022885 0.049000 -0.004654 1.010152 -2.612e-13
zalesak d3q27 200 80 3 0.02 800 7.500000e-05 1.999100 1 10000 nan 0.055800 1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000 -100000000000000005250476025520442024870446858110815915491585411551180245798890819578637137508044786404370444383288387817694252
zalesak d3q27 200 80 3 0.02 4000 1.500000e-05 1.999820 1 10000 nan 0.050500 1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000 -10000000000000000525047602552044202487044685811081591549158541155118024579889081957863713750804478640437044438328838781769425
shear2d d3q27 200 40 3 0.02 60 1.000000e-03 1.988072 2 20000 0.027705 0.024400 -0.002338 1.007748 -2.174e-12
swirl3d d3q27 100 20 3 0.02 60 1.000000e-03 1.988072 1 5000 0.148785 0.113300 -0.003834 1.003660 -1.741e-13
translate41 d3q27cm 100 25 3 0.02 60 1.000000e-03 1.988072 10 50000 0.039679 0.013400 -0.014037 1.015252 1.524e-12
smooth2d d3q27 512 102.4 2 0.02 40 1.000000e-03 1.988072 1 25600 0.013864 0.019900 -0.031967 1.025994 -2.816e-12
translate d3q27cm 200 40 3 0.02 125 4.800000e-04 1.994257 10 100000 0.305279 0.006600 -0.172127 1.161015 3.118e-12
zalesak d3q27cm 200 80 3 0.02 80 7.500000e-04 1.991040 1 10000 0.013063 0.059300 -0.015636 1.022285 3.237e-13
zalesak d3q27cm 200 80 3 0.02 400 1.500000e-04 1.998202 1 10000 0.023741 0.059000 -0.039161 1.052528 3.364e-13
translate d3q27cm 200 40 3 0.02 500 1.200000e-04 1.998561 10 100000 0.119041 0.005000 -0.136837 1.159590 3.061e-12
zalesak d3q27cm 200 80 3 0.02 800 7.500000e-05 1.999100 1 10000 0.028394 0.055800 -0.048850 1.064650 3.382e-13
zalesak d3q27cm 200 80 3 0.02 4000 1.500000e-05 1.999820 1 10000 0.033624 0.050500 -0.059429 1.080746 3.249e-13
shear2d d3q27cm 200 40 3 0.02 60 1.000000e-03 1.988072 2 20000 0.029342 0.024400 -0.012701 1.014926 6.375e-13
sphere3d d3q27cm 100 20 3 0.02 60 1.000000e-03 1.988072 1 5000 0.033876 0.049000 -0.012154 1.017011 3.502e-13
translate d3q27 200 40 3 0.02 125 4.800000e-04 1.994257 10 100000 0.078133 0.006600 -0.027402 1.027856 -1.045e-11
smooth2d d3q27cm 512 102.4 2 0.02 40 1.000000e-03 1.988072 1 25600 0.019506 0.019900 -0.033614 1.032758 8.571e-13
translate d3q27cm 200 40 3 0.02 2000 3.000000e-05 1.999640 10 100000 0.073145 0.009000 -0.147873 1.192129 3.074e-12
swirl3d d3q27cm 100 20 3 0.02 60 1.000000e-03 1.988072 1 5000 0.159125 0.113300 -0.012759 1.022529 4.845e-13
