# Rayleigh-Taylor vs De Rosis & Enan (2021) Sec. III H and I.
# D3Q27 multiphase central moments + D3Q27 Allen-Cahn phase
# field, Esoteric Pull, FP64. 2-D runs use one periodic cell
# in z. y+ is the spike position over W, from 1.9 downward.
# The interface width xi is NOT specified by the paper.
# Their Table VIII (2-D, Re=30000): 1.900 1.829 1.620 1.365 1.118 0.863 0.575
# Their Table IX  (3-D, Re=256, FD): 1.898 1.858 1.741 1.553 1.304 1.001 0.648
# dim W Re At Ca Pe xi nu tau sigma M t_ref steps finite y0 y0.5 y1 y1.5 y2 y2.5 y3
3 64 256 0.5 960 1024 3 1.000000e-02 0.530000 1.250000e-06 1.171875e-04 2262.7 6788 1 1.9062 1.8438 1.6562 1.3750 0.9844 0.5312 0.0469
2 256 30000 0.5 0.26 500 3 3.413333e-04 0.501024 1.575385e-04 2.400000e-04 9051.0 27152 1 1.9023 1.8281 1.6211 1.3750 1.1406 0.8867 0.5703
3 64 30000 0.5 960 1024 3 8.533333e-05 0.500256 1.066667e-08 1.171875e-04 2262.7 6788 1 1.9062 1.8438 1.6094 1.2344 0.7812 0.2344 0.0156
2 64 30000 0.5 0.26 500 3 8.533333e-05 0.500256 3.938462e-05 2.400000e-04 2262.7 6788 1 1.9062 1.8438 1.6406 1.3750 1.1250 0.8438 0.4844
2 64 30000 0.5 960 500 3 8.533333e-05 0.500256 1.066667e-08 2.400000e-04 2262.7 6788 1 1.9062 1.8438 1.6406 1.3750 1.1094 0.7969 0.4062
2 128 30000 0.5 0.26 500 3 1.706667e-04 0.500512 7.876923e-05 2.400000e-04 4525.5 13576 1 1.9062 1.8359 1.6250 1.3672 1.1250 0.8672 0.5469
2 256 256 0.5 0.26 500 3 4.000000e-02 0.620000 1.846154e-02 2.400000e-04 9051.0 27152 1 1.9023 1.8867 1.8320 1.7461 1.6172 1.4648 1.3242
3 64 256 0.5 960 1024 3 1.000000e-02 0.530000 1.250000e-06 1.171875e-04 2262.7 6788 1 1.9062 1.8438 1.6562 1.3750 0.9844 0.5312 0.0469
2 256 30000 0.5 960 500 3 3.413333e-04 0.501024 4.266667e-08 2.400000e-04 9051.0 27152 1 1.9023 1.8281 1.6133 1.3555 1.1172 0.8789 0.5859
2 256 3000 0.5 0.26 1000 3 3.413333e-03 0.510240 1.575385e-03 1.200000e-04 9051.0 27152 1 1.9023 1.8398 1.6484 1.4258 1.2227 1.0000 0.6680
