# Stone skipping, GPU/src/skip.cu at c86ab6f, Tesla T4, FP32
# 384 x 192 x 144   D 48   thickness 9.6 cells (1:5)   rho_b/rho_H 2.6
# Fr 5  Re 500  We 1000  rho_H/rho_L 100  nu 4.8e-3  sigma 1.2e-2  g 2.083333e-06  U 0.05  xi 4
# tau 0.514400 (floor 0.5)   Pe 128  phase omega 1.797753 (ceiling 2)
# attack 20 deg  descent 15 deg  spin 0.640 U at the rim, Omega 1.3333e-3 rad/step
# disc volume from chi 17396.7 vs pi R^2 (2h) = 17371.8  (+0.14 %)
# I_body axial 1.3120e+09 (m R^2/2 = 1.3027e+09)  diametral 6.9444e+08 (m(R^2/4+h^2/3) = 6.8607e+08)
# 5760 steps, 4m32.679s wall
#
# t/t0     x/D   clear/D      vx/U      vy/U   attack    |w|D/U           Fy           Tz    m_fluid
   0.00   1.50    +0.100   +0.9659   -0.2588    20.00  1.280e+00  +0.0000e+00  +0.0000e+00  0.0000e+00
   0.25   1.74    +0.041   +0.9454   -0.2415    19.72  1.262e+00  +5.7288e-02  -9.7242e-03  1.7700e+04
   0.50   1.97    -0.004   +0.9281   -0.2052    18.17  1.259e+00  +1.0197e-01  -2.2988e-02  1.9346e+04
   0.75   2.20    -0.019   +0.9048   -0.1428    14.60  1.262e+00  +1.3392e-01  -9.0677e-03  2.1727e+04
   1.00   2.42    -0.022   +0.8812   -0.0730    11.59  1.223e+00  +1.1636e-01  +8.1541e-03  2.3634e+04
   1.25   2.64    -0.033   +0.8613   -0.0256    11.50  1.183e+00  +6.9945e-02  +9.4256e-03  2.4940e+04
   1.50   2.85    -0.049   +0.8431   +0.0011    13.18  1.164e+00  +5.0566e-02  +4.3261e-03  2.6109e+04
   1.75   3.06    -0.061   +0.8245   +0.0235    15.04  1.148e+00  +5.1783e-02  +1.7446e-03  2.7188e+04
   2.00   3.27    -0.064   +0.8065   +0.0430    16.41  1.130e+00  +4.2097e-02  +2.6369e-04  2.7954e+04
   2.25   3.47    -0.056   +0.7892   +0.0578    17.07  1.110e+00  +3.3657e-02  +1.6936e-04  2.8395e+04
   2.50   3.66    -0.040   +0.7732   +0.0669    17.01  1.089e+00  +2.4960e-02  -4.5609e-05  2.8438e+04
   2.75   3.85    -0.017   +0.7597   +0.0702    16.30  1.070e+00  +1.8111e-02  +8.2777e-04  2.8226e+04
   3.00   4.04    +0.010   +0.7492   +0.0680    15.10  1.052e+00  +6.8801e-03  +7.3843e-04  2.7955e+04
   3.25   4.23    +0.038   +0.7406   +0.0630    13.64  1.036e+00  +4.7282e-03  -2.6474e-05  2.7729e+04
   3.50   4.41    +0.065   +0.7333   +0.0560    12.17  1.023e+00  +3.3533e-03  +2.9681e-04  2.7761e+04
   3.75   4.59    +0.087   +0.7278   +0.0482    11.02  1.010e+00  +2.9040e-03  -4.4033e-04  2.8125e+04
   4.00   4.78    +0.103   +0.7230   +0.0406    10.48  9.992e-01  +3.8357e-03  -5.6643e-04  2.8626e+04
   4.25   4.96    +0.111   +0.7189   +0.0332    10.67  9.893e-01  +3.2441e-03  -7.4401e-04  2.9161e+04
   4.50   5.14    +0.111   +0.7161   +0.0260    11.45  9.806e-01  +4.3864e-03  -7.4648e-04  2.9696e+04
   4.75   5.31    +0.108   +0.7136   +0.0192    12.52  9.737e-01  +6.6027e-03  -6.3030e-04  3.0153e+04
   5.00   5.49    +0.103   +0.7120   +0.0121    13.61  9.683e-01  +8.9458e-03  -6.6483e-04  3.0517e+04
   5.25   5.67    +0.098   +0.7111   +0.0053    14.51  9.640e-01  +3.0525e-03  -8.0355e-05  3.0845e+04
   5.50   5.85    +0.095   +0.7096   -0.0009    15.06  9.604e-01  +2.0897e-03  +7.4550e-05  3.1097e+04
   5.75   6.03    +0.092   +0.7086   -0.0071    15.19  9.574e-01  +5.2701e-03  -2.3587e-05  3.1354e+04
   6.00   6.20    +0.092   +0.7079   -0.0135    14.88  9.548e-01  +5.8382e-03  -3.0063e-04  3.1554e+04
#
# finite throughout;  lowest clearance -0.064 D;  vy from -0.2588 U to +0.0702 U
# SKIPPED: vy changed sign at t/t0 = 1.49 while in contact
